Plant_Name,Temperature_Range(°C),Humidity_Range(%),NPK_Required(mg/kg),Fertilizer_Used,Fertilizer_Bags_per_ha,Fertilizer_Bags_per_sqm,Fertilizer_Bags_per_acre
Zucchini,20-Dec,62-82,100-50-70,Ammonium Sulphate,13.34,0.2044,7.22
Tomato,22-30,62-82,95-45-65,MOP,5.94,0.1328,9.21
Strawberry,19-26,60-80,100-50-70,Ammonium Sulphate,26.63,0.1458,5.26
Spinach,22-30,60-80,100-50-70,DAP,26.65,0.1295,11.41
Eggplant,20-Dec,55-75,135-68-88,Superphosphate,26.34,0.2116,8.28
Lettuce,14-22,62-82,95-45-65,DAP,19.14,0.2996,2.79
Spinach,18-25,58-78,110-55-75,Compost,19.49,0.2304,7.42
Tomato,16-24,58-78,100-50-70,Compost,6.28,0.236,6.33
Lettuce,18-Oct,45-65,100-50-70,Superphosphate,15.64,0.1444,8.5
Strawberry,18-Oct,58-78,100-50-70,Urea,27.34,0.1331,8.76
Lettuce,18-25,50-72,105-52-72,Ammonium Sulphate,12.31,0.2358,4.34
Strawberry,14-22,65-85,130-65-85,DAP,28.16,0.1192,6.31
Eggplant,20-28,62-82,130-65-85,MOP,5.68,0.2507,4.61
Lettuce,20-Dec,55-75,90-40-60,NPK 20-20-20,5.03,0.0658,11.64
Lettuce,19-26,58-78,135-68-88,DAP,8.13,0.0591,7.75
Spinach,22-30,58-78,120-60-80,Superphosphate,24.95,0.0793,4.16
Lettuce,20-28,50-70,120-60-80,Ammonium Sulphate,11.11,0.1955,4.67
Eggplant,19-26,55-75,130-65-85,MOP,26.76,0.0972,9.84
Broccoli,19-26,60-80,100-50-70,Ammonium Sulphate,29.3,0.2871,8.97
Bell Pepper,19-26,40-60,100-50-70,Superphosphate,18.61,0.0638,8.85
Lettuce,21-29,40-60,125-62-82,DAP,9.65,0.1676,4.79
Carrot,19-26,40-60,120-60-80,Superphosphate,17.71,0.2564,2.75
Bell Pepper,14-22,40-60,125-62-82,DAP,25.08,0.1923,11.42
Lettuce,22-30,40-60,90-40-60,NPK 20-20-20,6.13,0.0941,6.71
Bell Pepper,18-Oct,55-75,135-68-88,Ammonium Sulphate,28.02,0.2331,10.15
Tomato,18-Oct,50-70,135-68-88,Ammonium Sulphate,25.4,0.0598,2.28
Spinach,16-24,50-72,125-62-82,Ammonium Sulphate,11.85,0.2103,9.04
Spinach,20-Dec,62-82,100-50-70,Compost,29.3,0.101,10.68
Broccoli,20-Dec,55-75,120-60-80,Superphosphate,8.69,0.0854,11.5
Eggplant,22-30,55-75,105-52-72,NPK 20-20-20,25.17,0.1826,11.25
Lettuce,22-30,40-60,110-55-75,Ammonium Sulphate,28.79,0.1799,2.25
Spinach,22-30,53-77,90-40-60,MOP,28.51,0.0667,4.17
Bell Pepper,16-24,40-60,120-60-80,Urea,10.03,0.2517,8.99
Tomato,19-26,60-80,90-40-60,NPK 20-20-20,6.75,0.0851,9.92
Spinach,21-29,45-65,130-65-85,NPK 20-20-20,6.66,0.1003,7.91
Broccoli,14-22,45-65,125-62-82,Vermicompost,16.34,0.0691,10.98
Bell Pepper,21-29,58-78,130-65-85,NPK 20-20-20,29.67,0.1034,3.09
Eggplant,22-30,62-82,130-65-85,Ammonium Sulphate,20.5,0.1177,9.65
Zucchini,20-28,53-77,135-68-88,Ammonium Sulphate,5.08,0.1447,3.11
Spinach,22-30,50-70,100-50-70,Urea,19.26,0.0814,7.18
Tomato,19-26,65-85,110-55-75,Vermicompost,28.41,0.2037,7.23
Broccoli,21-29,50-72,140-70-90,MOP,12.89,0.1688,6.39
Zucchini,18-Oct,62-82,105-52-72,Compost,26.97,0.0649,4.33
Spinach,15-22,40-60,95-45-65,Vermicompost,6.46,0.1539,4.7
Carrot,15-22,62-82,120-60-80,MOP,7.21,0.2407,9.69
Tomato,18-Oct,60-80,120-60-80,Ammonium Sulphate,10.06,0.2504,2.08
Spinach,15-22,65-85,130-65-85,Compost,12.63,0.1549,10.79
Broccoli,18-Oct,58-78,120-60-80,DAP,8.75,0.2502,7.54
Lettuce,21-29,65-85,125-62-82,MOP,10.81,0.0609,6.1
Bell Pepper,18-25,58-78,120-60-80,Vermicompost,26.88,0.1956,4.05
Cucumber,16-24,50-70,100-50-70,Compost,10.72,0.2218,10.97
Carrot,18-25,50-72,95-45-65,Superphosphate,14.38,0.1203,6.16
Carrot,16-24,45-65,95-45-65,NPK 20-20-20,21.48,0.169,2.47
Cucumber,20-28,53-77,100-50-70,Ammonium Sulphate,5.61,0.2806,3.16
Bell Pepper,22-30,45-65,105-52-72,NPK 20-20-20,16.44,0.1279,10.97
Eggplant,20-28,40-60,105-52-72,Superphosphate,14.59,0.1731,11.55
Broccoli,16-24,50-70,95-45-65,DAP,17.54,0.1274,3.06
Broccoli,16-24,60-80,120-60-80,Ammonium Sulphate,7.46,0.2835,6.77
Carrot,20-28,50-72,110-55-75,DAP,7.12,0.2123,8.22
Lettuce,14-22,45-65,110-55-75,DAP,13.44,0.2199,5.41
Carrot,18-25,50-72,140-70-90,MOP,22.97,0.2402,10.73
Zucchini,20-Dec,58-78,100-50-70,Urea,16.54,0.2425,5.62
Lettuce,18-Oct,50-72,135-68-88,NPK 20-20-20,17.51,0.0555,4.88
Tomato,22-30,65-85,90-40-60,Superphosphate,25.31,0.2767,11.54
Eggplant,16-24,58-78,100-50-70,NPK 20-20-20,29.22,0.2418,4.91
Broccoli,21-29,65-85,140-70-90,Compost,18.48,0.1739,7.49
Zucchini,21-29,60-80,135-68-88,Urea,22.38,0.1217,2.38
Tomato,20-28,55-75,135-68-88,MOP,13.72,0.1666,6.98
Cucumber,18-25,40-60,120-60-80,Vermicompost,24.84,0.1143,6.21
Broccoli,20-Dec,58-78,135-68-88,DAP,27.63,0.0623,11
Eggplant,20-Dec,60-80,120-60-80,Superphosphate,24.1,0.0972,8.06
Spinach,14-22,55-75,140-70-90,NPK 20-20-20,20.5,0.0814,7.28
Bell Pepper,20-Dec,62-82,105-52-72,Urea,22.11,0.1321,9.03
Broccoli,20-Dec,40-60,135-68-88,NPK 20-20-20,20.17,0.2249,4.33
Tomato,19-26,50-70,110-55-75,NPK 20-20-20,22.79,0.2737,2.43
Cucumber,18-25,65-85,110-55-75,Superphosphate,25.35,0.0687,5.3
Broccoli,20-28,60-80,125-62-82,MOP,17.53,0.1443,5.6
Spinach,19-26,55-75,135-68-88,NPK 20-20-20,7.56,0.1577,10.59
Lettuce,18-Oct,53-77,100-50-70,DAP,11.71,0.1803,3.24
Tomato,14-22,58-78,95-45-65,Urea,5.82,0.2069,2.3
Bell Pepper,20-Dec,45-65,105-52-72,DAP,18.22,0.2107,8.35
Strawberry,14-22,50-70,125-62-82,Superphosphate,24.21,0.1963,3.32
Tomato,15-22,50-72,90-40-60,NPK 20-20-20,16.71,0.0991,6.29
Strawberry,14-22,58-78,110-55-75,Superphosphate,23.84,0.2697,2.25
Tomato,21-29,62-82,125-62-82,DAP,11.97,0.0871,10.93
Broccoli,21-29,45-65,125-62-82,MOP,13.89,0.0835,8.28
Broccoli,15-22,50-70,110-55-75,Superphosphate,13.99,0.1473,8.64
Eggplant,18-Oct,53-77,100-50-70,Compost,16.69,0.1476,10.38
Lettuce,20-Dec,50-70,130-65-85,NPK 20-20-20,25.19,0.132,11.2
Lettuce,14-22,60-80,95-45-65,Compost,12.36,0.1635,6.1
Eggplant,20-28,65-85,125-62-82,Superphosphate,10.82,0.0661,2.21
Zucchini,15-22,50-70,140-70-90,Vermicompost,23.58,0.1568,11
Carrot,18-Oct,65-85,120-60-80,Superphosphate,26.61,0.2491,9.81
Carrot,22-30,60-80,130-65-85,NPK 20-20-20,14.39,0.1842,6.04
Bell Pepper,20-Dec,45-65,100-50-70,Compost,13.96,0.1879,8.19
Eggplant,18-Oct,55-75,135-68-88,MOP,18.03,0.1616,3.55
Broccoli,18-Oct,62-82,100-50-70,DAP,8.68,0.1988,4.43
Zucchini,20-28,55-75,110-55-75,Ammonium Sulphate,22.8,0.1781,2.59
Strawberry,20-28,62-82,130-65-85,Vermicompost,5.79,0.2218,3.82
Carrot,15-22,60-80,95-45-65,DAP,19.13,0.2785,5.26
Spinach,19-26,65-85,140-70-90,NPK 20-20-20,18.87,0.195,3.95
Bell Pepper,21-29,62-82,140-70-90,NPK 20-20-20,24.67,0.283,2.52
Tomato,14-22,50-70,135-68-88,DAP,15.32,0.0534,2.35
Spinach,19-26,65-85,125-62-82,Vermicompost,23.6,0.2634,10.87
Cucumber,20-Dec,65-85,110-55-75,Superphosphate,5.9,0.1859,9.94
Cucumber,21-29,62-82,125-62-82,Ammonium Sulphate,22.72,0.0572,5.48
Eggplant,22-30,55-75,140-70-90,Urea,29.15,0.164,2.77
Tomato,14-22,50-72,105-52-72,Ammonium Sulphate,22.72,0.2576,10.13
Cucumber,18-25,40-60,120-60-80,Vermicompost,25.23,0.2397,8.45
Spinach,20-Dec,40-60,95-45-65,Compost,24.27,0.2152,4.58
Tomato,20-28,55-75,100-50-70,MOP,24.07,0.0501,9
Cucumber,20-28,65-85,120-60-80,NPK 20-20-20,17.32,0.078,4.58
Spinach,19-26,45-65,105-52-72,Urea,13.22,0.1156,8.89
Strawberry,18-Oct,50-70,90-40-60,DAP,29.39,0.141,3.73
Tomato,16-24,40-60,105-52-72,Compost,20.17,0.1774,10.4
Tomato,18-25,40-60,95-45-65,DAP,29.88,0.1727,10.05
Zucchini,16-24,53-77,110-55-75,DAP,25.99,0.2159,6.72
Zucchini,21-29,60-80,110-55-75,Urea,15.71,0.1595,10.6
Broccoli,21-29,55-75,95-45-65,MOP,8.98,0.0893,4.99
Bell Pepper,18-25,58-78,120-60-80,NPK 20-20-20,29.62,0.1103,10.94
Broccoli,16-24,50-72,105-52-72,Urea,17.8,0.1215,8.22
Broccoli,16-24,55-75,105-52-72,Compost,7.03,0.1703,9.17
Carrot,22-30,60-80,110-55-75,NPK 20-20-20,27.3,0.1236,6.99
Cucumber,18-Oct,50-72,130-65-85,Compost,18.09,0.2431,11.68
Carrot,20-28,40-60,95-45-65,Superphosphate,21.7,0.2927,11.33
Carrot,19-26,55-75,90-40-60,Urea,14.91,0.1161,8.2
Zucchini,21-29,45-65,135-68-88,MOP,17.58,0.264,6.12
Eggplant,18-Oct,53-77,130-65-85,Compost,12.31,0.2811,10.65
Bell Pepper,19-26,58-78,110-55-75,NPK 20-20-20,6.35,0.2886,7.7
Carrot,19-26,65-85,90-40-60,MOP,26.42,0.1358,10.62
Bell Pepper,14-22,58-78,120-60-80,Vermicompost,19.35,0.1242,10.84
Eggplant,21-29,62-82,140-70-90,MOP,20.91,0.197,4.52
Cucumber,15-22,60-80,125-62-82,Urea,8.48,0.0876,10.08
Zucchini,16-24,40-60,100-50-70,Compost,5.58,0.0583,5.75
Cucumber,22-30,60-80,90-40-60,Ammonium Sulphate,20.11,0.1547,10.07
Broccoli,21-29,60-80,135-68-88,Vermicompost,16.34,0.2616,8.79
Spinach,18-Oct,40-60,100-50-70,DAP,19.07,0.1878,3.2
Zucchini,18-Oct,65-85,140-70-90,DAP,29.54,0.1163,6.94
Carrot,18-Oct,58-78,120-60-80,NPK 20-20-20,14.94,0.0996,10.63
Bell Pepper,20-28,50-70,135-68-88,Vermicompost,5.17,0.2411,5.65
Cucumber,16-24,50-72,135-68-88,Compost,7.65,0.1917,4.86
Spinach,20-28,60-80,105-52-72,Vermicompost,16.37,0.2877,6.96
Strawberry,19-26,45-65,135-68-88,NPK 20-20-20,9.22,0.0946,10.73
Spinach,18-Oct,45-65,100-50-70,Ammonium Sulphate,5.73,0.1112,9.3
Carrot,14-22,55-75,135-68-88,Urea,24.22,0.1074,6.18
Lettuce,18-Oct,53-77,95-45-65,Superphosphate,14.32,0.1986,5.53
Strawberry,18-Oct,60-80,140-70-90,DAP,8.88,0.1577,11
Lettuce,14-22,60-80,125-62-82,Compost,15.98,0.0759,5.23
Lettuce,19-26,53-77,90-40-60,Superphosphate,10.18,0.2263,3.05
Lettuce,20-28,58-78,130-65-85,NPK 20-20-20,26.94,0.2415,4.48
Eggplant,19-26,50-72,105-52-72,NPK 20-20-20,10.88,0.2933,3.67
Zucchini,16-24,65-85,130-65-85,MOP,6.37,0.0631,4.74
Bell Pepper,20-28,50-72,125-62-82,Urea,28.99,0.2588,5.84
Cucumber,18-Oct,62-82,105-52-72,DAP,20.97,0.1439,11.69
Carrot,18-Oct,50-70,140-70-90,Superphosphate,6.95,0.0564,4.97
Cucumber,22-30,50-70,140-70-90,Urea,8.58,0.2355,3.66
Cucumber,21-29,50-70,110-55-75,Superphosphate,18.69,0.266,4.97
Eggplant,18-Oct,50-70,100-50-70,Urea,13.39,0.2441,3.19
Carrot,20-Dec,50-70,140-70-90,Ammonium Sulphate,19.09,0.2159,5.51
Eggplant,14-22,50-72,140-70-90,DAP,14.3,0.0781,6.5
Broccoli,18-Oct,50-72,125-62-82,Ammonium Sulphate,19.43,0.2132,4.15
Broccoli,20-28,60-80,95-45-65,MOP,29.18,0.1875,2.8
Lettuce,15-22,65-85,100-50-70,Vermicompost,8.07,0.0692,3.33
Eggplant,15-22,45-65,105-52-72,NPK 20-20-20,6.02,0.0745,3.72
Carrot,20-Dec,40-60,105-52-72,Ammonium Sulphate,15.72,0.1594,7.95
Bell Pepper,16-24,50-70,110-55-75,Vermicompost,20.6,0.2012,11.5
Strawberry,19-26,50-70,110-55-75,Ammonium Sulphate,11.27,0.2611,7.63
Lettuce,21-29,53-77,95-45-65,Compost,26.6,0.1745,6.45
Zucchini,20-Dec,55-75,130-65-85,Ammonium Sulphate,18.53,0.0738,5.35
Spinach,21-29,50-70,125-62-82,DAP,24.37,0.1278,7.07
Spinach,18-Oct,62-82,95-45-65,DAP,12.14,0.2047,3.88
Zucchini,16-24,60-80,100-50-70,NPK 20-20-20,23.91,0.2299,9.34
Zucchini,20-Dec,50-70,125-62-82,NPK 20-20-20,6.43,0.0929,4.08
Tomato,15-22,50-72,140-70-90,Vermicompost,21.32,0.173,2.4
Carrot,18-Oct,45-65,120-60-80,Urea,14.15,0.1377,7.6
Spinach,20-Dec,50-70,90-40-60,DAP,15.73,0.1211,7.79
Broccoli,20-28,45-65,130-65-85,Ammonium Sulphate,25.77,0.1442,10.2
Lettuce,20-Dec,65-85,140-70-90,MOP,25.37,0.0631,8.04
Tomato,15-22,58-78,95-45-65,Compost,12.08,0.2705,2.34
Tomato,20-28,60-80,110-55-75,Urea,25.8,0.0517,5.79
Tomato,18-Oct,58-78,135-68-88,Ammonium Sulphate,15.75,0.179,3.67
Zucchini,14-22,55-75,95-45-65,Vermicompost,26.52,0.0731,5.43
Broccoli,15-22,50-72,125-62-82,Urea,7.73,0.144,9.27
Carrot,20-28,65-85,125-62-82,Urea,20.33,0.2851,4.02
Zucchini,18-Oct,60-80,95-45-65,Compost,13.69,0.2915,5.92
Bell Pepper,15-22,50-72,95-45-65,Vermicompost,21.27,0.2668,3.68
Lettuce,18-Oct,60-80,105-52-72,Urea,10.92,0.1488,4.84
Tomato,20-28,58-78,95-45-65,Compost,11.47,0.2678,2.74
Zucchini,22-30,45-65,90-40-60,Vermicompost,21.15,0.2072,3.07
Bell Pepper,16-24,53-77,135-68-88,Superphosphate,7.21,0.1726,4.29
Tomato,19-26,55-75,95-45-65,Ammonium Sulphate,10.66,0.2055,5.34
Eggplant,21-29,53-77,95-45-65,Compost,16.82,0.2177,3.85
Broccoli,15-22,62-82,120-60-80,Urea,22.82,0.0833,10.58
Strawberry,19-26,40-60,95-45-65,Vermicompost,27.41,0.2435,10.92
Broccoli,18-Oct,62-82,105-52-72,MOP,15,0.0665,8.34
Broccoli,20-28,62-82,90-40-60,DAP,27.34,0.0941,9.33
Strawberry,19-26,53-77,100-50-70,NPK 20-20-20,17.15,0.2508,9.92
Carrot,19-26,60-80,90-40-60,Ammonium Sulphate,27.57,0.2309,11.74
Spinach,20-28,50-72,135-68-88,Ammonium Sulphate,13.2,0.1219,6.42
Carrot,18-25,50-72,105-52-72,Urea,11.39,0.0831,4.95
Strawberry,15-22,58-78,125-62-82,NPK 20-20-20,19.95,0.1506,2.5
Zucchini,16-24,55-75,105-52-72,MOP,29.41,0.0994,8.48
Spinach,18-Oct,55-75,105-52-72,DAP,8.5,0.271,9.18
Bell Pepper,19-26,45-65,135-68-88,MOP,24.86,0.1888,3.48
Bell Pepper,20-Dec,55-75,90-40-60,Superphosphate,7.26,0.0911,3.47
Cucumber,18-25,40-60,95-45-65,Urea,16.57,0.1541,7.3
Lettuce,14-22,58-78,135-68-88,DAP,12.14,0.0828,2.18
Lettuce,16-24,60-80,105-52-72,Urea,22.64,0.2494,5.41
Cucumber,16-24,40-60,110-55-75,MOP,14.87,0.1656,4.26
Strawberry,15-22,55-75,135-68-88,MOP,11.1,0.1085,2.02
Cucumber,14-22,58-78,95-45-65,Superphosphate,6.1,0.0573,3.38
Zucchini,16-24,53-77,125-62-82,DAP,21.72,0.1573,2.22
Lettuce,20-28,50-70,105-52-72,NPK 20-20-20,20.37,0.2924,6.83
Broccoli,15-22,40-60,140-70-90,Urea,11.61,0.2561,5.56
Bell Pepper,18-Oct,55-75,100-50-70,Vermicompost,23.65,0.2408,5.6
Bell Pepper,22-30,53-77,135-68-88,NPK 20-20-20,6.02,0.2668,9.64
Spinach,21-29,55-75,110-55-75,Superphosphate,23.45,0.184,7.37
Lettuce,14-22,65-85,120-60-80,Urea,13.91,0.0727,10.17
Bell Pepper,18-25,53-77,140-70-90,Urea,12.17,0.2902,7.46
Carrot,20-28,50-70,105-52-72,Ammonium Sulphate,18.66,0.0529,11.35
Strawberry,18-25,50-72,100-50-70,Compost,16.62,0.1127,3.12
Strawberry,19-26,53-77,100-50-70,Ammonium Sulphate,26.38,0.1004,11.22
Cucumber,21-29,53-77,105-52-72,Compost,5.65,0.0726,9.63
Tomato,14-22,62-82,135-68-88,Superphosphate,24.22,0.2619,6.19
Cucumber,21-29,60-80,130-65-85,DAP,14.29,0.2211,3.4
Bell Pepper,22-30,53-77,95-45-65,MOP,8.08,0.0525,11.3
Carrot,14-22,58-78,95-45-65,NPK 20-20-20,24.44,0.0856,6.55
Strawberry,21-29,53-77,95-45-65,MOP,7.88,0.2894,7.15
Spinach,20-28,50-72,100-50-70,Superphosphate,26.03,0.2753,11.56
Broccoli,22-30,40-60,95-45-65,NPK 20-20-20,22.79,0.2176,10.58
Carrot,22-30,53-77,135-68-88,Superphosphate,10.33,0.2065,6.31
Bell Pepper,15-22,50-72,130-65-85,Compost,21.02,0.0912,2.78
Broccoli,16-24,65-85,120-60-80,NPK 20-20-20,29.16,0.2165,10.85
Zucchini,22-30,65-85,105-52-72,NPK 20-20-20,22.69,0.1087,2.36
Spinach,22-30,62-82,130-65-85,MOP,12.22,0.1012,11.2
Strawberry,20-28,62-82,110-55-75,Superphosphate,5.13,0.169,8.33
Cucumber,16-24,65-85,105-52-72,Superphosphate,11.74,0.2633,5.35
Strawberry,20-28,40-60,105-52-72,Vermicompost,17.62,0.2842,11.61
Strawberry,20-28,53-77,135-68-88,Vermicompost,17.85,0.0848,7.57
Lettuce,22-30,40-60,120-60-80,Ammonium Sulphate,5.44,0.22,8.35
Lettuce,20-28,60-80,90-40-60,Superphosphate,29.65,0.1194,9.53
Lettuce,20-28,62-82,120-60-80,Vermicompost,6.9,0.1661,6.71
Eggplant,15-22,45-65,100-50-70,Ammonium Sulphate,15.6,0.0531,4.6
Spinach,20-28,40-60,105-52-72,Compost,5.84,0.0956,9.34
Strawberry,19-26,50-72,95-45-65,Ammonium Sulphate,17.14,0.1731,5.14
Tomato,20-Dec,60-80,130-65-85,Vermicompost,9.81,0.1698,5.07
Carrot,20-Dec,40-60,125-62-82,DAP,17.03,0.2178,8.26
Spinach,18-Oct,53-77,120-60-80,NPK 20-20-20,9.45,0.2778,2.22
Tomato,15-22,40-60,140-70-90,Vermicompost,22.09,0.0747,4.75
Lettuce,15-22,58-78,125-62-82,Vermicompost,15.08,0.2797,9.76
Zucchini,21-29,45-65,90-40-60,NPK 20-20-20,28.93,0.1519,6.06
Strawberry,18-Oct,62-82,90-40-60,DAP,17.54,0.2023,10.62
Broccoli,19-26,60-80,125-62-82,Compost,25.13,0.1025,10.57
Strawberry,18-Oct,65-85,90-40-60,DAP,15.23,0.1636,10.77
Zucchini,18-25,62-82,110-55-75,Urea,23.78,0.0516,6.14
Broccoli,21-29,58-78,105-52-72,DAP,21.41,0.075,8.84
Zucchini,21-29,53-77,95-45-65,NPK 20-20-20,26.46,0.2828,3.57
Eggplant,15-22,62-82,140-70-90,Superphosphate,27.74,0.263,9.35
Carrot,19-26,50-70,125-62-82,Vermicompost,16.51,0.2577,8.19
Cucumber,18-Oct,55-75,95-45-65,Urea,18.28,0.1814,10.99
Spinach,18-Oct,60-80,100-50-70,Ammonium Sulphate,13.32,0.2205,4.16
Eggplant,14-22,53-77,130-65-85,Urea,29.24,0.2845,10.22
Carrot,20-28,60-80,140-70-90,NPK 20-20-20,17,0.2112,7.87
Eggplant,18-Oct,50-72,95-45-65,MOP,16.76,0.2835,9.09
Cucumber,21-29,40-60,90-40-60,Compost,5.33,0.2606,9.58
Lettuce,16-24,65-85,125-62-82,Ammonium Sulphate,24.21,0.0514,4.05
Lettuce,15-22,55-75,110-55-75,Vermicompost,8.24,0.0576,7.29
Lettuce,19-26,50-72,100-50-70,Compost,10.56,0.2841,5.67
Bell Pepper,22-30,62-82,130-65-85,MOP,28.46,0.0671,9.44
Cucumber,22-30,62-82,130-65-85,DAP,22.09,0.2918,5.68
Broccoli,20-28,50-72,130-65-85,NPK 20-20-20,12.14,0.0555,8.16
Zucchini,22-30,58-78,140-70-90,Superphosphate,19.49,0.2494,5.92
Carrot,19-26,58-78,105-52-72,MOP,5.73,0.2574,9.98
Bell Pepper,15-22,50-72,105-52-72,Ammonium Sulphate,17.62,0.2603,10.93
Zucchini,15-22,40-60,100-50-70,Ammonium Sulphate,21.34,0.0943,7.15
Broccoli,18-Oct,40-60,95-45-65,Urea,26.18,0.0889,10.83
Broccoli,18-Oct,53-77,120-60-80,NPK 20-20-20,27.15,0.0889,8.01
Broccoli,15-22,50-72,140-70-90,Vermicompost,18.27,0.1578,2.46
Strawberry,18-Oct,65-85,90-40-60,Superphosphate,22.08,0.12,3.89
Carrot,18-25,50-72,120-60-80,Superphosphate,5.04,0.0931,2.01
Spinach,14-22,53-77,130-65-85,Compost,19.8,0.29,3.59
Spinach,22-30,55-75,135-68-88,MOP,17.86,0.0676,7.4
Spinach,16-24,45-65,140-70-90,Urea,25.83,0.2705,3.27
Tomato,20-28,50-72,110-55-75,Ammonium Sulphate,23.46,0.2641,8.28
Cucumber,21-29,62-82,110-55-75,Vermicompost,20.47,0.2544,5.11
Carrot,20-28,62-82,120-60-80,Vermicompost,19.14,0.1504,10.65
Tomato,19-26,58-78,140-70-90,Superphosphate,15.65,0.1486,2.24
Lettuce,18-25,40-60,95-45-65,DAP,24.11,0.102,6.49
Carrot,18-25,53-77,120-60-80,DAP,15.89,0.1969,8.15
Strawberry,15-22,45-65,105-52-72,MOP,16.01,0.1673,5.49
Eggplant,22-30,40-60,140-70-90,DAP,18.89,0.1794,6.48
Broccoli,14-22,50-72,90-40-60,DAP,16.24,0.144,7.96
Strawberry,18-Oct,58-78,95-45-65,Ammonium Sulphate,24.28,0.1921,2.62
Zucchini,21-29,45-65,90-40-60,Compost,29.81,0.0799,10.84
Tomato,15-22,58-78,135-68-88,DAP,24.17,0.1685,11.01
Tomato,15-22,45-65,125-62-82,Vermicompost,22.04,0.0708,10.74
Tomato,16-24,50-72,100-50-70,NPK 20-20-20,22.13,0.189,5.38
Zucchini,22-30,58-78,120-60-80,Compost,20.19,0.1584,4.29
Bell Pepper,15-22,50-72,120-60-80,Superphosphate,8.79,0.2389,8.35
Eggplant,22-30,55-75,105-52-72,Ammonium Sulphate,13.43,0.2133,2.36
Tomato,20-28,50-70,135-68-88,Urea,9.06,0.0519,7.34
Bell Pepper,15-22,60-80,90-40-60,MOP,9.35,0.2974,5.6
Lettuce,15-22,40-60,120-60-80,Compost,18.48,0.0621,3.29
Zucchini,20-28,60-80,125-62-82,Compost,5.64,0.1591,6.37
Strawberry,14-22,62-82,110-55-75,NPK 20-20-20,6.88,0.1705,5.81
Spinach,20-28,62-82,120-60-80,Superphosphate,14.31,0.0591,9.62
Carrot,16-24,50-72,90-40-60,DAP,23.38,0.219,4.31
Lettuce,21-29,55-75,135-68-88,Compost,9.69,0.1365,4.01
Carrot,21-29,45-65,130-65-85,Vermicompost,11.94,0.1272,2.4
Broccoli,14-22,50-70,95-45-65,Compost,28.07,0.0914,6.01
Spinach,22-30,58-78,135-68-88,MOP,16.16,0.2597,6.62
Strawberry,18-25,65-85,140-70-90,Ammonium Sulphate,20.3,0.1888,4.39
Bell Pepper,16-24,50-72,95-45-65,Urea,21.4,0.0963,7.01
Cucumber,18-25,62-82,130-65-85,MOP,28.44,0.1024,9.89
Cucumber,14-22,58-78,130-65-85,NPK 20-20-20,20.35,0.1534,7.72
Spinach,16-24,50-72,140-70-90,Ammonium Sulphate,12.11,0.1507,6.87
Strawberry,21-29,58-78,130-65-85,DAP,8.8,0.2781,8.58
Broccoli,18-Oct,50-72,110-55-75,Vermicompost,22.68,0.2206,10.01
Strawberry,16-24,62-82,105-52-72,Ammonium Sulphate,7.12,0.1064,2.33
Strawberry,22-30,65-85,125-62-82,DAP,12.75,0.097,7.96
Zucchini,19-26,53-77,120-60-80,Compost,11.73,0.2237,6.66
Eggplant,20-Dec,65-85,120-60-80,DAP,20.74,0.1004,4.12
Carrot,16-24,62-82,135-68-88,Compost,23.04,0.0707,5.27
Eggplant,16-24,62-82,125-62-82,Urea,29.22,0.1905,11.1
Bell Pepper,22-30,65-85,110-55-75,MOP,13.56,0.2785,11.99
Spinach,15-22,40-60,110-55-75,DAP,21.1,0.1449,10.17
Carrot,18-25,65-85,125-62-82,Vermicompost,26.37,0.1344,8.18
Strawberry,22-30,62-82,125-62-82,MOP,5.75,0.1378,11.27
Spinach,18-25,50-70,105-52-72,Superphosphate,17.82,0.0936,2.51
Carrot,19-26,50-70,130-65-85,Urea,11.73,0.2209,6.62
Eggplant,20-Dec,62-82,140-70-90,NPK 20-20-20,18.13,0.1721,10.95
Zucchini,15-22,62-82,120-60-80,MOP,9.26,0.1852,3.34
Bell Pepper,14-22,55-75,100-50-70,DAP,21.09,0.2733,3.14
Spinach,18-25,50-70,105-52-72,NPK 20-20-20,16.87,0.2574,7.09
Spinach,19-26,50-70,110-55-75,DAP,10.61,0.1652,8.31
Eggplant,21-29,45-65,125-62-82,DAP,17.48,0.2644,8.39
Cucumber,20-Dec,65-85,95-45-65,Superphosphate,9.66,0.2554,8.74
Lettuce,16-24,53-77,135-68-88,NPK 20-20-20,25.2,0.2467,10.18
Zucchini,20-28,50-70,110-55-75,NPK 20-20-20,20.01,0.2574,8.49
Eggplant,20-28,45-65,105-52-72,Vermicompost,21.57,0.1582,11.98
Bell Pepper,20-Dec,45-65,125-62-82,Compost,25.57,0.08,4.73
Carrot,16-24,60-80,130-65-85,Vermicompost,25.31,0.2641,3.75
Tomato,19-26,55-75,95-45-65,NPK 20-20-20,9.21,0.2897,6.4
Bell Pepper,21-29,58-78,140-70-90,Urea,14.3,0.2185,10.25
Strawberry,22-30,45-65,90-40-60,Superphosphate,10.84,0.1231,5.51
Zucchini,15-22,50-70,95-45-65,Urea,21.72,0.261,5.58
Eggplant,14-22,58-78,95-45-65,Vermicompost,8.07,0.1753,4.11
Cucumber,20-28,60-80,95-45-65,Superphosphate,23.32,0.0885,3.26
Zucchini,20-28,50-70,100-50-70,NPK 20-20-20,13.27,0.2466,10.95
Broccoli,20-28,55-75,90-40-60,Vermicompost,8.29,0.2086,3.66
